LOINC_NUM,LONG_COMMON_NAME,reference_fact
30898-1,Plasma volume by Scintigraphy,Test: Plasma volume | System: ^Patient | Units: mL | Info: Total plasma volume determined using Iodine-125 labeled human serum albumin
13678-8,Alpha ketoglutarate/Creatinine [Mass Ratio] in Urine,Test: Alpha ketoglutarate/Creatinine | System: Urine | Units: mg/g creatinine | Info: 2-oxoglutarate & alpha ketoglutarate are the same thing
1990-1,Cholecalciferol (Vit D3) [Mass/volume] in Serum or Plasma,Test: Cholecalciferol | System: Ser/Plas | Units: ng/mL | Info: Vitamin D
30899-9,Blood volume by Scintigraphy,Test: Blood volume | System: ^Patient | Units: mL | Info: Total Blood Volume = Erythrocyte Volume + Plasma Volume
3050-2,Triiodothyronine resin uptake (T3RU) in Serum or Plasma,Test: Triiodothyronine resin uptake (T3RU) | System: Ser/Plas | Units: % | Info: Resin & T3 added to patient serum. Proportion of tracer bound by solid matrix measured. Result for p
33877-2,Tetrahydrobiopterin/Biopterin in Urine,"Test: Tetrahydrobiopterin/Biopterin | System: Urine | Units: umol/umol | Info: A low %BH4 is characteristic of dihydropteridine reductase deficiency, which leads to phenylalanine "
14629-0,Bilirubin.direct [Moles/volume] in Serum or Plasma,"Test: Bilirubin.glucuronidated+Bilirubin.albumin bound | System: Ser/Plas | Units: umol/L | Info: Except when measured by differential light absorption, direct bilirubin included glucuronidated and "
14630-8,Bilirubin.indirect [Moles/volume] in Serum or Plasma,Test: Bilirubin.non-glucuronidated | System: Ser/Plas | Units: umol/L | Info: Method can be WET CHEMISTRY or DRY SLIDE (Bu)
14631-6,Bilirubin.total [Moles/volume] in Serum or Plasma,"Test: Bilirubin | System: Ser/Plas | Units: umol/L | Info: Method can be DIRECT SPECTOPHOTOMETRY, WET CHEMISTRY or DRY SLIDE (TBIL)"
2535-3,Lactate dehydrogenase 1 [Enzymatic activity/volume] in Serum or Plasma by Chemical separation,Test: Lactate dehydrogenase 1 | System: Ser/Plas | Units: arb U/L | Info: What is this methodology as chemical?
2280-6,Fibronectin [Mass/volume] in Plasma,Test: Fibronectin | System: Plas | Units: ug/mL | Info: I found this measured on ascitic fluid
2281-4,Flavin adenine dinucleotide [Mass/volume] in Serum,Test: Flavin adenine dinucleotide | System: Ser | Units: mg/L | Info: ?Used in test procedure - is this measurable
33225-4,Fine Granular Casts [#/area] in Urine sediment by Automated count,Test: Granular casts.fine | System: Urine sed | Units: /HPF | Info: Automated counters measure the number concentration directly and calculate values for the per HPF (o
104801-6,Beta globulin [Mass/volume] in Serum or Plasma,Test: Beta globulin | System: Ser/Plas | Units: mg/L | Info: A test for Beta globulin in serum or plasma via any electrophoresis method.  A parent code for those
104805-7,Creatinine renal clearance predicted,Test: Creatinine renal clearance.predicted | System: Ser/Plas | Units: mL/min | Info: A test for Creatinine renal clearance. predicted in serum or plasma via any method.   A parent code 
104812-3,Base excess in Venous cord blood,Test: Base excess | System: BldCoV | Units: mmol/L | Info: A base excess in venous cord blood used as a parent code for those with pre-coordinated methods.
104813-1,Gamma globulin [Mass/volume] in Serum or Plasma,Test: Gamma globulin | System: Ser/Plas | Units: mg/L | Info: A test for Gamma globulin in serum or plasma via any method.  A parent code for those with pre-coord
26904-3,2-Methylcitrate [Moles/volume] in Serum or Plasma,Test: 2-Methylcitrate | System: Ser/Plas | Units: nmol/L | Info: same as methylcitrate
104816-4,Beta hydroxybutyrate [Moles/volume] in Blood,Test: Beta hydroxybutyrate | System: Bld | Units: mmol/L | Info: A test for the presence of Beta hydroxybutyrate in urine.  This is a parent code for those with pre-
42727-8,Fibrin D-dimer [Mass/volume] in Cerebral spinal fluid by Latex agglutination,"Test: Fibrin D-dimer | System: CSF | Units: ug/L | Info: The CSF assay is a manual, semiquantitative, slide latex agglutination assay. One of three results a"
21582-2,Tryptase [Mass/volume] in Serum or Plasma,Test: Tryptase | System: Ser/Plas | Units: ug/L;ng/mL | Info: Tryptase is a neutral protease sored in secretory granules of mast cells
2120-4,Chylomicrons [Mass/volume] in Serum or Plasma,Test: Chylomicrons | System: Ser/Plas | Units: mg/dL | Info: Is this QN as in lipoprotein electrophoresis? Need QL by observation.
30919-5,Iron [Mass/volume] in Urine collected for unspecified duration,Test: Iron | System: Urine | Units: ug/L | Info: Urine Test result for timed intervals other than 24H or Random.
100842-4,Nonalcoholic steatohepatitis score in Serum or Plasma Calculated by FAST,Test: Nonalcoholic steatohepatitis score | System: Ser/Plas | Units: score | Info: Fast  is a score used by healthcare professionals to aid in the identification of patients with susp
100843-2,Liver fibrosis score in Serum or Plasma by Calculated.Agile3+,Test: Liver fibrosis score | System: Ser/Plas | Units: score | Info: Agile is a set of scores estimating the degree of liver fibrosis in patients with suspicion of nonal
30922-9,Magnesium [Mass/volume] in Urine collected for unspecified duration,Test: Magnesium | System: Urine | Units: mg/L | Info: Urine Test result for timed intervals other than 24H or Random.
14116-8,IgG synthesis rate [Mass/time] in Serum and CSF by calculation,"Test: IgG synthesis rate | System: Ser+CSF | Units: mg/24 H | Info: IgG synthesis expresses the synthesis of IgG inside the blood brain barrier, in mg/day, calculated w"
100978-6,Thyroxine.free.gestational [Moles/volume] in Serum or Plasma by Immunoassay,"Test: Thyroxine.free.gestational | System: Ser/Plas | Units: pmol/L | Info: During pregnancy, a two-step immunoassay procedure which involves an extra step to remove interferin"
22695-1,Carnitine/Creatinine [Molar ratio] in Urine,"Test: Carnitine/Creatinine | System: Urine | Units: umol/mol creatinine | Info: ""Carnitine"" is an alternative way to say total carnitines which = free carnitine + acylcarnitines, o"
2462-0,IgE [Mass/volume] in Serum,"Test: IgE | System: Ser | Units: ug/L | Info: Most laboratories report in terms of international units, not mass.  Double check with your source l"
31157-1,Carboxyhemoglobin [Mass/volume] in Blood,"Test: Carboxyhemoglobin | System: Bld | Units: g/dL | Info: Requester confirmed that this is g/dL, not saturation."
18261-8,Cholesterol in LDL [Mass/volume] in Serum or Plasma ultracentrifugate,Test: Cholesterol.in LDL | System: Ser/Plas.ultracentrifugate | Units: mg/dL | Info: This method is used to calculate LDL in specimens that have a triglyceride value greater that 400 mL
14149-9,Corticotropin Big Fragment [Mass/volume] in Serum or Plasma,Test: Corticotropin.big fragment | System: Ser/Plas | Units: pg/mL | Info: High molecular wt fragment of ACTH; high levels found in ectopic tumor syndrome and certain malignan
33227-0,Coarse Granular Casts [#/area] in Urine sediment by Automated count,Test: Granular casts.coarse | System: Urine sed | Units: /HPF | Info: Automated counters measure the number concentration directly and calculate values for the per HPF (o
14152-3,Bilirubin.direct [Mass/volume] in Body fluid,"Test: Bilirubin.glucuronidated+Bilirubin.albumin bound | System: Body fld | Units: mg/dL | Info: Except when measured by differential light absorption, direct bilirubin included glucuronidated and "
18263-4,Cholesterol in HDL [Mass/volume] in Serum or Plasma ultracentrifugate,Test: Cholesterol.in HDL | System: Ser/Plas.ultracentrifugate | Units: mg/dL | Info: This method is used to calculate HDL in specimens that have a triglyceride value greater that 400 mg
2793-8,Phosphofructokinase F subunit/Phosphofructokinase.total in Platelets,Test: Phosphofructokinase.F subunit/Phosphofructokinase.total | System: Platelets | Units: % | Info: NFR is probably not the right property. These are probably not being tested as fractions of total ph
3059-3,Trypsin [Enzymatic activity/volume] in Duodenal fluid,Test: Trypsin | System: Duod fld | Units: arb U/L | Info: Trypsin is an enzyme that catalyses the cleavage of peptide linkages involving carboxy group of eith
30934-4,Natriuretic peptide B [Mass/volume] in Serum or Plasma,Test: Natriuretic peptide.B | System: Ser/Plas | Units: ng/L;pg/mL | Info: Test kit allows the use of whole blood as well as plasma - RBCs are filtered out and the test is per
33768-3,Leukocyte clumps [#/volume] in Urine by Automated count,Test: Leukocyte clumps | System: Urine | Units: /uL | Info: Automated counters measure the number concentration directly and calculate values for the per HPF (o
14678-7,Cortisol [Moles/volume] in Serum or Plasma --PM trough specimen,Test: Cortisol^PM trough specimen | System: Ser/Plas | Units: nmol/L | Info: Identifies an evening specimen when cortisol is at its lowest point in a circadian cycle -often cons
14679-5,Cortisol [Moles/volume] in Serum or Plasma --AM peak specimen,Test: Cortisol^AM peak specimen | System: Ser/Plas | Units: nmol/L | Info: Identifies a morning specimen when cortisol is at its highest point in a circadian cycle - often con
2794-6,Phosphofructokinase F subunit/Phosphofructokinase.total in Leukocytes,Test: Phosphofructokinase.F subunit/Phosphofructokinase.total | System: WBC | Units: % | Info: NFR is probably not the right property. These are probably not being tested as fractions of total ph
1649-3,Calcitriol [Mass/volume] in Serum or Plasma,"Test: Calcitriol | System: Ser/Plas | Units: pg/mL | Info: 1,25-calcitriol is IUPAC name, EUC just has calcitriol"
2795-3,Phosphofructokinase L subunit/Phosphofructokinase.total in Red Blood Cells,Test: Phosphofructokinase.L subunit/Phosphofructokinase.total | System: RBC | Units: % | Info: NFR is probably not the right property. These are probably not being tested as fractions of total ph
2796-1,Phosphofructokinase M subunit/Phosphofructokinase.total in Red Blood Cells,Test: Phosphofructokinase.M subunit/Phosphofructokinase.total | System: RBC | Units: % | Info: NFR is probably not the right property. These are probably not being tested as fractions of total ph
39459-3,Bicarbonate [Moles/volume] standard in Venous cord blood,Test: Bicarbonate^^standard | System: BldCoV | Units: mmol/L | Info: Concentration of bicarbonate in whole blood at 38 degree Celsius equilibrated at a pCO2 of 40 mm Hg 
35365-6,Vitamin D+Metabolites [Mass/volume] in Serum or Plasma,"Test: Vitamin D+Metabolites | System: Ser/Plas | Units: ng/mL | Info: Total vitamin D - includes D2, D3 and 25-OH"
26811-0,2-Methylcitrate [Moles/volume] in Urine,Test: 2-Methylcitrate | System: Urine | Units: umol/L | Info: same as methylcitrate
1833-3,Alpha-1-Fetoprotein [Mass/volume] in Cerebral spinal fluid,"Test: Alpha-1-Fetoprotein | System: CSF | Units: ug/L | Info: Used principally as a tumor marker for a form of testicular cancer, but can be elevated in many othe"
34163-6,Oxygen content in Blood,Test: Oxygen content | System: Bld | Units: mol/L | Info: Be very careful about mapping to this term. We cannot confirm that anyone reports it in this manner 
2134-5,Coproporphyrin [Moles/volume] in Red Blood Cells,Test: Coproporphyrin | System: RBC | Units: nmol/L | Info: ?RBC can't find this EUCLIDES code. In EUCLIDES I have coproporphyrin = A01530
33244-5,Guanidinoacetate [Moles/volume] in Serum or Plasma,Test: Guanidinoacetate | System: Ser/Plas | Units: mmol/mL | Info: Used to assess abnormalities in the synthesis of creatine.
1756-6,Albumin in CSF/Albumin in Serum or Plasma,Test: Albumin.CSF/Albumin.SerPl | System: Ser/Plas+CSF | Units: Ratio | Info: The albumin quotient (AQ; CSF albumin/serum or plasma albumin x 100) is an important measurement to 
10561-9,Carnitine [Moles/volume] in Semen,"Test: Carnitine | System: Semen | Units: mmol/L | Info: ""Carnitine"" is an alternative way to say total carnitines which = free carnitine + acylcarnitines, o"
101544-5,Bacterial versus viral infection likelihood [Score] by calculation,Test: Bacterial versus viral infection likelihood | System: ^Patient | Units: score | Info: The test generates a numeric score that falls within discrete interpretation categories based on the
35384-7,Estradiol (E2) [Mass/volume] in Serum or Plasma by High sensitivity method,Test: Estradiol | System: Ser/Plas | Units: pg/mL | Info: Quantitative measures of estradiol by high sensitivity assays (e.g. LC/MS/MS) are necessary to measu
33898-8,Bilirubin.conjugated+indirect [Mass/volume] in Serum or Plasma,Test: Bilirubin.glucuronidated+Bilirubin.non-glucuronidated | System: Ser/Plas | Units: mg/dL | Info: Method is DRY SLIDE (NBILI or BuBc)
20403-2,Fibronectin.fetal [Mass/volume] in Vaginal fluid,Test: Fibronectin.fetal | System: Vag | Units: ng/mL | Info: Fetal isoform of fibronectin found in amniotic fluid and placenta. Found in cervical and vaginal flu
25114-0,2-Methylcitrate/Creatinine [Molar ratio] in Urine,Test: 2-Methylcitrate/Creatinine | System: Urine | Units: mmol/mol creatinine | Info: same as methylcitrate
24448-3,Carnitine [Moles/time] in 24 hour Urine,"Test: Carnitine | System: Urine | Units: umol/24 H | Info: ""Carnitine"" is an alternative way to say total carnitines which = free carnitine + acylcarnitines, o"
101736-7,Calcium hydrogen phosphate dihydrate crystals [Energy Difference] in 24 hour Urine,Test: Calcium hydrogen phosphate dihydrate crystals | System: Urine | Units: kJ/mol | Info: Calcium hydrogen phosphate dihydrate (CHPD) is found quite frequently in urinary calculi (stones). T
14182-0,Thrombin antithrombin complex Ag [Mass/volume] in Platelet poor plasma by Immunoassay,Test: Thrombin antithrombin complex Ag | System: PPP | Units: ng/mL | Info: antithrombin III binds to thrombin forming a 1:1 complex
39460-1,Bicarbonate [Moles/volume] standard in Arterial cord blood,Test: Bicarbonate^^standard | System: BldCoA | Units: mmol/L | Info: Concentration of bicarbonate in whole blood at 38 degree Celsius equilibrated at a pCO2 of 40 mm Hg 
11277-1,Epithelial cells.squamous [#/area] in Urine sediment by Microscopy high power field,Test: Epithelial cells.squamous | System: Urine sed | Units: /HPF | Info: One of three types of epithelial cells
11278-9,Bladder cells [#/area] in Urine sediment by Microscopy high power field,Test: Bladder cells | System: Urine sed | Units: /HPF | Info: One of three types of epithelial cells
24451-7,Carnitine [Moles/mass] in Tissue,"Test: Carnitine | System: Tiss | Units: nmol/mg | Info: ""Carnitine"" is an alternative way to say total carnitines which = free carnitine + acylcarnitines, o"
33666-9,Erythrocytes.dysmorphic [#/volume] in Urine by Light microscopy,Test: Erythrocytes.dysmorphic | System: Urine | Units: 10*6/L | Info: These are the erythrocytes shown by Fairley as being associated with Glomerular bleeding
2885-2,Protein [Mass/volume] in Serum or Plasma,"Test: Protein | System: Ser/Plas | Units: g/L;g/dL | Info: Although there is a qualitative difference between total protein in plasma and serum, the QUANTITATI"
19214-6,Oxygen [Partial pressure] saturation adjusted to 0.5 in Arterial blood,Test: Oxygen^^saturation adjusted to 0.5 | System: BldA | Units: mm Hg | Info: The pO2 of a given blood sample at which hemoglobin of the blood is held saturated
11579-0,Thyrotropin [Units/volume] in Serum or Plasma by Detection limit <= 0.05 mIU/L,"Test: Thyrotropin | System: Ser/Plas | Units: mIU/L;mcU/mL | Info: This is a so called 2nd generation test and ""detection limit"" given is the analytic detection limit "
106158-9,Insulin [Units/volume] in DBS by Immunoassay,Test: Insulin | System: Bld.dot | Units: uIU/mL | Info: This assay is a quantitative determination of insulin extracted from dried blood spots through chemi
106530-9,Albumin.glycated/Albumin.total [Molar ratio] in Serum or Plasma by Immunoassay,"Test: Albumin.glycated/Albumin.total | System: Ser/Plas | Units: mmol/mol | Info: This term measures glycated albumin, which reflects glucose bound to lysine residues in albumin, is "
19215-3,Oxygen [Partial pressure] saturation adjusted to 0.5 in Capillary blood,Test: Oxygen^^saturation adjusted to 0.5 | System: BldC | Units: mm Hg | Info: The pO2 of a given blood sample at which hemoglobin of the blood is hald saturated
33200-7,Amyloid beta 42 peptide [Mass/volume] in Plasma,Test: Amyloid beta 42 peptide | System: Plas | Units: pg/mL | Info: Abeta 42 level is elevated in individuals whose chromosomes carry the genetic mutations characterist
19216-1,Oxygen [Partial pressure] saturation adjusted to 0.5 in Venous blood,Test: Oxygen^^saturation adjusted to 0.5 | System: BldV | Units: mm Hg | Info: The pO2 of a given blood sample at which hemoglobin of the blood is hald saturated
14288-5,Carnitine [Moles/volume] in Serum or Plasma,"Test: Carnitine | System: Ser/Plas | Units: umol/L;mcmol/dL; mcmol/L; umole/L | Info: ""Carnitine"" is an alternative way to say total carnitines which = free carnitine + acylcarnitines, o"
19217-9,Oxygen [Partial pressure] saturation adjusted to 0.5 in Mixed venous blood,Test: Oxygen^^saturation adjusted to 0.5 | System: BldMV | Units: mm Hg | Info: The pO2 of a given blood sample at which hemoglobin of the blood is hald saturated
19218-7,Oxygen content in Arterial blood,Test: Oxygen content | System: BldA | Units: mol/L | Info: Be very careful about mapping to this term. We cannot confirm that anyone reports it in this manner 
19219-5,Oxygen content in Capillary blood,Test: Oxygen content | System: BldC | Units: mol/L | Info: Be very careful about mapping to this term. We cannot confirm that anyone reports it in this manner 
19220-3,Oxygen content in Venous blood,Test: Oxygen content | System: BldV | Units: mol/L | Info: Be very careful about mapping to this term. We cannot confirm that anyone reports it in this manner 
19221-1,Oxygen content in Mixed venous blood,Test: Oxygen content | System: BldMV | Units: mol/L | Info: Be very careful about mapping to this term. We cannot confirm that anyone reports it in this manner 
19223-7,"Carbon dioxide, total [Moles/volume] in Mixed venous blood",Test: Carbon dioxide | System: BldMV | Units: mmol/L | Info: CO2 counterpart of oxygen content
2888-6,Protein [Mass/volume] in Urine,Test: Protein | System: Urine | Units: g/L;mg/dL | Info: The protein concentration that is reported in electrophoresis is the same as that reported routinely
19230-2,Bicarbonate [Moles/volume] standard in Arterial blood,Test: Bicarbonate^^standard | System: BldA | Units: mmol/L | Info: Concentration of bicarbonate in whole blood at 38 degree Celsius equilibrated at a pCO2 of 40 mm Hg 
19231-0,Bicarbonate [Moles/volume] standard in Capillary blood,Test: Bicarbonate^^standard | System: BldC | Units: mmol/L | Info: Concentration of bicarbonate in whole blood at 38 degree Celsius equilibrated at a pCO2 of 40 mm Hg 
33667-7,Prostate specific Ag.protein bound [Mass/volume] in Serum or Plasma,Test: Prostate specific Ag.protein bound | System: Ser/Plas | Units: ng/mL; ug/L | Info: Complexed PSA is the difference between Total and free PSA
19232-8,Bicarbonate [Moles/volume] standard in Venous blood,Test: Bicarbonate^^standard | System: BldV | Units: mmol/L | Info: Concentration of bicarbonate in whole blood at 38 degree Celsius equilibrated at a pCO2 of 40 mm Hg 
19233-6,Bicarbonate [Moles/volume] standard in Mixed venous blood,Test: Bicarbonate^^standard | System: BldMV | Units: mmol/L | Info: Concentration of bicarbonate in whole blood at 38 degree Celsius equilibrated at a pCO2 of 40 mm Hg 
33670-1,Platelet aggregation [Time] in Platelet rich plasma by collagen induced lag High dose,Test: Platelet aggregation | System: PRP | Units: s | Info: This is the lag phase between addition of collagen and platelet aggregation
101997-5,Clot initiation.kaolin induced [Time] in Blood by Thromboelastography,"Test: Clot initiation | System: Bld | Units: min | Info: Thrombelastography determination of time to initial clot formation (reaction time or R), stimulated "
101998-3,Clot formation.kaolin induced [Time] in Blood by Thromboelastography,"Test: Clot formation | System: Bld | Units: min | Info: In thromboelastography, clot formation time (K) is the time for clot firmness to increase from 2mm ("
102000-7,Maximum clot strength amplitude [Length] in Blood by Thromboelastography.kaolin induced,"Test: Maximum clot strength amplitude | System: Bld | Units: mm | Info: Thrombelastography determination of clot strength, stimulated with kaolin"
19235-1,Base excess standard in Arterial blood by calculation,Test: Base excess^^standard | System: BldA | Units: mmol/L | Info: the base excess of extracellular fluid
102004-9,Clot angle.kaolin induced in Blood by Thromboelastography^after addition of heparinase,"Test: Clot angle | System: Bld | Units: deg | Info: Thrombelastography determination of clot initiation, stimulated by kaolin, and with heparinase to ne"
106983-0,Testis expressed Protein 101 [Mass/volume] in Semen by Immunoassay,Test: Testis expressed Protein 101 | System: Semen | Units: ng/mL | Info: This term represents an assay for a testis-specific glycoprotein that is highly expressed in spermat
19236-9,Base excess standard in Capillary blood by calculation,Test: Base excess^^standard | System: BldC | Units: mmol/L | Info: the base excess of extracellular fluid
107162-0,Lipoprotein a [Moles/volume] in DBS by Turbidimetry,"Test: Lipoprotein (little a) | System: Bld.dot | Units: nmol/L | Info: This term represents an assay quantifying lipoprotein(a) (Lp(a)) levels in blood samples, including "
19237-7,Base excess standard in Venous blood by calculation,Test: Base excess^^standard | System: BldV | Units: mmol/L | Info: the base excess of extracellular fluid
14805-6,Lactate dehydrogenase [Enzymatic activity/volume] in Serum or Plasma by Pyruvate to lactate reaction,Test: Lactate dehydrogenase | System: Ser/Plas | Units: arb U/L | Info: Ortho measures piruvate lactate which is three times higher than the reaction going the other direct
19238-5,Base excess standard in Mixed venous blood by calculation,Test: Base excess^^standard | System: BldMV | Units: mmol/L | Info: the base excess of extracellular fluid
29760-6,Bilirubin.conjugated [Moles/volume] in Serum or Plasma,Test: Bilirubin.glucuronidated | System: Ser/Plas | Units: umol/L | Info: Method is DRY SLIDE (Bc)
24471-5,Platelet function (closure time) [Time] in Blood by Collagen+Epinephrine induced,"Test: Platelet function | System: Bld | Units: s | Info: Procedure used to simulate in vivo vascular injury which results in platelet attachment, activation "
21035-1,11-Deoxycortisol [Mass/volume] in Serum or Plasma --morning specimen,Test: 11-Deoxycortisol^morning specimen | System: Ser/Plas | Units: ug/dL | Info: Most labs base normals on assumption the specimen is drawn between 7 AM and 9 AM.
32046-5,Pregnancy associated plasma protein A [Units/volume] in Serum or Plasma,Test: Pregnancy associated plasma protein A | System: Ser/Plas | Units: IU/L;mIU/L | Info: Also called PAPPA. Used for testing of Down syndrome and other fetal disorders.
107372-5,von Willebrand factor activity.glycoprotein Ib gain of function (GPIbM)von Willebrand factor activity.glycoprotein Ib gain of function (GPIbM) actual/normal in Platelet poor plasma by Turbidimetry,Test: von Willebrand factor activity.glycoprotein Ib gain of function (GPIbM) actual/Normal | System: PPP | Units: % | Info: This test measures von Willebrand factor (VWF) activity using a turbidimetric method with recombinan
19254-2,Oxygen [Partial pressure] adjusted to patient's actual temperature in Blood,Test: Oxygen^^adjusted to patient's actual temperature | System: Bld | Units: mm Hg | Info: The partial pressure of oxygen at which hemoglobin is 50% saturated with oxygen. Often called p50 (w
10226-9,Oxygen content in Intravascular space,Test: Oxygen content | System: Intravascular space.XXX | Units: mol/L | Info: We can not confirm that any lab reports it in this manner - perhaps as number of molecules of oxygen
10232-7,Oxygen content in Aorta root,Test: Oxygen content | System: Aorta.root | Units: mol/L | Info: We can not confirm that any lab reports it in this manner - perhaps as number of molecules of oxygen
10233-5,Oxygen content in Left atrium,Test: Oxygen content | System: Heart.atrium.left | Units: mol/L | Info: We can not confirm that any lab reports it in this manner - perhaps as number of molecules of oxygen
10234-3,Oxygen content in Right atrium,Test: Oxygen content | System: Heart.atrium.right | Units: mol/L | Info: We can not confirm that any lab reports it in this manner - perhaps as number of molecules of oxygen
10235-0,Oxygen content in High right atrium,Test: Oxygen content | System: Heart.atrium.right.high | Units: mol/L | Info: We can not confirm that any lab reports it in this manner - perhaps as number of molecules of oxygen
10236-8,Oxygen content in Low right atrium,Test: Oxygen content | System: Heart.atrium.right.low | Units: mol/L | Info: We can not confirm that any lab reports it in this manner - perhaps as number of molecules of oxygen
10237-6,Oxygen content in Mid right atrium,Test: Oxygen content | System: Heart.atrium.right.mid | Units: mol/L | Info: We can not confirm that any lab reports it in this manner - perhaps as number of molecules of oxygen
10238-4,Oxygen content in Left ventricle,Test: Oxygen content | System: Heart.ventricle.left | Units: mol/L | Info: We can not confirm that any lab reports it in this manner - perhaps as number of molecules of oxygen
10239-2,Oxygen content in Right ventricular outflow tract,Test: Oxygen content | System: Heart.ventricle.right.outflow tract | Units: mol/L | Info: We can not confirm that any lab reports it in this manner - perhaps as number of molecules of oxygen
10240-0,Oxygen content in Right ventricle,Test: Oxygen content | System: Heart.ventricle.right | Units: mol/L | Info: We can not confirm that any lab reports it in this manner - perhaps as number of molecules of oxygen
10241-8,Oxygen content in Coronary sinus,Test: Oxygen content | System: Coronary sinus | Units: mol/L | Info: We can not confirm that any lab reports it in this manner - perhaps as number of molecules of oxygen
10242-6,Oxygen content in Ductus arteriosus,Test: Oxygen content | System: Ductus arteriosus | Units: mol/L | Info: We can not confirm that any lab reports it in this manner - perhaps as number of molecules of oxygen
10243-4,Oxygen content in Inferior vena cava,Test: Oxygen content | System: Vena cava.inferior | Units: mol/L | Info: We can not confirm that any lab reports it in this manner - perhaps as number of molecules of oxygen
10244-2,Oxygen content in Left pulmonary artery,Test: Oxygen content | System: Pulmonary artery.left | Units: mol/L | Info: We can not confirm that any lab reports it in this manner - perhaps as number of molecules of oxygen
10245-9,Oxygen content in Main pulmonary artery,Test: Oxygen content | System: Pulmonary artery.main | Units: mol/L | Info: We can not confirm that any lab reports it in this manner - perhaps as number of molecules of oxygen
10246-7,Oxygen content in Right pulmonary artery,Test: Oxygen content | System: Pulmonary artery.right | Units: mol/L | Info: We can not confirm that any lab reports it in this manner - perhaps as number of molecules of oxygen
10247-5,Oxygen content in Pulmonary wedge,Test: Oxygen content | System: Pulmonary wedge | Units: mol/L | Info: We can not confirm that any lab reports it in this manner - perhaps as number of molecules of oxygen
10248-3,Oxygen content in Superior vena cava,Test: Oxygen content | System: Vena cava.superior | Units: mol/L | Info: We can not confirm that any lab reports it in this manner - perhaps as number of molecules of oxygen
19255-9,Oxygen [Partial pressure] adjusted to patient's actual temperature in Arterial blood,Test: Oxygen^^adjusted to patient's actual temperature | System: BldA | Units: mm Hg | Info: The partial pressure of oxygen at which hemoglobin is 50% saturated with oxygen. Often called p50 (w
19256-7,Oxygen [Partial pressure] adjusted to patient's actual temperature in Capillary blood,Test: Oxygen^^adjusted to patient's actual temperature | System: BldC | Units: mm Hg | Info: The partial pressure of oxygen at which hemoglobin is 50% saturated with oxygen. Often called p50 (w
33671-9,Platelet aggregation [Time] in Control Platelet rich plasma by collagen induced lag High dose,Test: Platelet aggregation | System: PRP^Control | Units: s | Info: This is the lag phase between addition of collagen and platelet aggregation
33218-9,Bacteria [#/area] in Urine sediment by Automated count,Test: Bacteria | System: Urine sed | Units: /HPF | Info: Automated counters measure the number concentration directly and calculate values for the per HPF (o
1863-0,Anion gap in Serum or Plasma by Calculated.4Ions,Test: Anion gap | System: Ser/Plas | Units: mmol/L | Info: [(NA+)]-[(Cl-)+(CO2-)]+K
33342-7,Epithelial cells [#/area] in Urine sediment by Automated count,Test: Epithelial cells | System: Urine sed | Units: /HPF | Info: Automated counters measure the number concentration directly and calculate values for the per HPF (o
38480-0,Carnitine [Moles/volume] in DBS,"Test: Carnitine | System: Bld.dot | Units: umol/L | Info: ""Carnitine"" is an alternative way to say total carnitines which = free carnitine + acylcarnitines, o"
21052-6,Adenosine monophosphate.cyclic.nephrogenous [Moles/volume] in Urine and Serum or Plasma,Test: Adenosine monophosphate.cyclic.nephrogenous | System: Urine+Ser/Plas | Units: nmol/dL | Info: Urinary excretion of cAMP minus that filtered by the glomerulus
103676-3,Soluble triggering receptor expressed on myeloid cells-1 [Mass/volume] in Serum or Plasma by Immunoassay,Test: Soluble triggering receptor expressed on myeloid cells-1 | System: Ser/Plas | Units: pg/mL | Info: Immunoassay for measuring the in vitro quantitative determination of sTREM-1 in human plasma.
22665-4,Bilirubin.delta [Moles/volume] in Serum or Plasma,Test: Bilirubin.albumin bound | System: Ser/Plas | Units: umol/L | Info: Method is DRY SLIDE; = (TBIL-(Bu+Bc))
2411-7,Hexokinase 1/Hexokinase.total in Red Blood Cells,"Test: Hexokinase 1/Hexokinase.total | System: RBC | Units: % | Info: Hexokinase in erythrocytes can be measured as U/g Hb, U/10^12 Ercs, or U/ml Ercs. In human RBCs ther"
24520-9,Phosphate [Moles/volume] in Red Blood Cells,Test: Phosphate | System: RBC | Units: mmol/L RBC | Info: (WBPhos - (SPhos x (1 - Hematocrit)))/ Hematocrit
33222-1,Oval fat bodies (globules) [#/area] in Urine sediment by Automated count,Test: Oval fat bodies (globules) | System: Urine sed | Units: /HPF | Info: Automated counters measure the number concentration directly and calculate values for the per HPF (o
2412-5,Hexokinase 3/Hexokinase.total in Red Blood Cells,"Test: Hexokinase 3/Hexokinase.total | System: RBC | Units: % | Info: NFR is probably not the right property. Hexokinase in erythrocytes can be measured as U/g Hb, U/10^1"
20633-4,1-Methylhistidine [Moles/volume] in Serum or Plasma,Test: 1-Methylhistidine | System: Ser/Plas | Units: mcmol/dL; mcmol/L; umol/L | Info: Genetic metabolic specialist (from Canada) point out that plasma may be the traditional sample of ch
20634-2,Alpha aminobutyrate [Moles/volume] in Serum or Plasma,Test: Alpha aminobutyrate | System: Ser/Plas | Units: mcmol/dL; mcmol/L; umol/L | Info: Genetic metabolic specialist (from Canada) point out that plasma may be the traditional sample of ch
